China Guangdong Tour						
Tour ID	Tour Name	Tour Short Description 				
2D001	Shimen National Forest Tour	"Shimen colorful pond * stunning red maple * Staying at ""Yihua Hot Spring Hotel"""	2	Mon / Wed / Sat	Weekday 499 / Weekend 599	"<tr><td>2D001</td><td>Shimen colorful pond * stunning red maple * Staying at ""Yihua Hot Spring Hotel""</td><td>2</td><td>Mon / Wed / Sat</td><td>Weekday 499 / Weekend 599</td></tr>"
2D002	Yangshan Hot Spring Tour	Unlimited use of hot spring * Famous Yangshan roaster cusine	2	Mon / Wed / Fri	Weekday 299 / Weekend 399	<tr><td>2D002</td><td>Unlimited use of hot spring * Famous Yangshan roaster cusine</td><td>2</td><td>Mon / Wed / Fri</td><td>Weekday 299 / Weekend 399</td></tr>
2D003	Heyuan Hotspring Tour 	Five Stars Hot Spring Resort * 68 different types of hot spring * Water theme park	2	Mon / Fri / Sat	Weekday 299 / Weekend 399	<tr><td>2D003</td><td>Five Stars Hot Spring Resort * 68 different types of hot spring * Water theme park</td><td>2</td><td>Mon / Fri / Sat</td><td>Weekday 299 / Weekend 399</td></tr>
2D004	National Park Tour	Green Lake District (Ferry Tour Included) * Asia tallest musical fountain * Staying at 4 stars hotel 	2	Tue / Sat 	Weekday 299 / Weekend 399	<tr><td>2D004</td><td>Green Lake District (Ferry Tour Included) * Asia tallest musical fountain * Staying at 4 stars hotel </td><td>2</td><td>Tue / Sat </td><td>Weekday 299 / Weekend 399</td></tr>
2D005	Yummy Sight seeing Tour	"Once-a-year beautiful ""Four-fins-maple"" on mountain top * BBQ chicken and piglet in a lost traditional way "	2	Tue / Sat	Weekday 399 / Weekend 499	"<tr><td>2D005</td><td>Once-a-year beautiful ""Four-fins-maple"" on mountain top * BBQ chicken and piglet in a lost traditional way </td><td>2</td><td>Tue / Sat</td><td>Weekday 399 / Weekend 499</td></tr>"
3D019	Guangdong country-side relax trip 	Baiyun Mountain * the Site of the Huangpu Military Academy * the South China Botanical Gardens.  * 4 stars hotel	3	Mon / Wed / Sat	Weekday 599 / Weekend 799	<tr><td>3D019</td><td>Baiyun Mountain * the Site of the Huangpu Military Academy * the South China Botanical Gardens.  * 4 stars hotel</td><td>3</td><td>Mon / Wed / Sat</td><td>Weekday 599 / Weekend 799</td></tr>
3D075	Kaipinng culture tour 	Kaiping Watchtowers * Jinshan Hot Spring * 5 starts hotel	3	Mon / Wed / Sat	Weekday 699 / Weekend 899	<tr><td>3D075</td><td>Kaiping Watchtowers * Jinshan Hot Spring * 5 starts hotel</td><td>3</td><td>Mon / Wed / Sat</td><td>Weekday 699 / Weekend 899</td></tr>
3D077	Shaoguan sight-seeing tour	Nanhua Temple * Danxia Mountain * Nanling National Forest Park	3	Tue / Thu	$499 	<tr><td>3D077</td><td>Nanhua Temple * Danxia Mountain * Nanling National Forest Park</td><td>3</td><td>Tue / Thu</td><td>499</td></tr>
3D010	Dynamic Zhuhai-Macau tour	Jinding * Tangjiawan * Gongbei * Including one night staying at 5-stars casino resort in Macau	3	Wed / Sun	Weekday 699 / Weekend 899	<tr><td>3D010</td><td>Jinding * Tangjiawan * Gongbei * Including one night staying at 5-stars casino resort in Macau</td><td>3</td><td>Wed / Sun</td><td>Weekday 699 / Weekend 899</td></tr>
3D991	Qingyuan historic-landscape tour 	Baojing Palace of Yingde * Sankeng Hot Spring * Sankeng Hot Spring 	3	"7/10/2017, 17/10/2017, 24/10/2017"	899	"<tr><td>3D991</td><td>Baojing Palace of Yingde * Sankeng Hot Spring * Sankeng Hot Spring </td><td>3</td><td>7/10/2017, 17/10/2017, 24/10/2017</td><td>899</td></tr>"
3D842	Shenzhen city tour 	Window of The World  * Splendid China & Chinese Folk Culture Village * Dafen Oil Painting Village (All tickets included)	3	Wed / Sun	Weekday 699 / Weekend 899	<tr><td>3D842</td><td>Window of The World  * Splendid China & Chinese Folk Culture Village * Dafen Oil Painting Village (All tickets included)</td><td>3</td><td>Wed / Sun</td><td>Weekday 699 / Weekend 899</td></tr>
